Location,Category of Production,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
"Colorado","Wind",1330.55,893.23,1372.94,1332.05,1236.37,1093.59,1132.39,1201.72,1153.82,1309.12,1357.19,1712.73
"Connecticut","All fuels",3671.51,3490.28,3760.49,3242.91,3487.46,3731.18,4008.77,4219.23,3722.69,2971.95,3951.34,3822.13
"Connecticut","Other renewables",82.58,67.6,93.93,83.84,93.22,96.53,92.78,87.37,93.19,74.92,89.61,79.23
"Connecticut","Hydro-electric pumped storage",9.15,-0.97,-8.88,-3.52,0.6,0.57,0.44,1.46,1.02,0.4,-0.19,0.35
"Connecticut","Conventional hydroelectric",47.17,30.03,46.79,56.5,44.13,19.79,41.21,28.09,33.44,35.12,48.58,46.72
"Connecticut","Nuclear",1399.65,1413.36,1565.74,1513.23,1561.56,1261.55,1547.13,1527.96,1488.66,1036.86,1341.63,1559.19
"Connecticut","Utility-scale photovoltaic",14.07,10.17,26.88,20.16,30.08,30.41,24.82,25.53,27.24,21.48,21.49,12.89
"Connecticut","All utility-scale solar",14.07,10.17,26.88,20.16,30.08,30.41,24.82,25.53,27.24,21.48,21.49,12.89
"Connecticut","All solar",59.22,57.94,107.43,105.67,125,127.57,119.13,112.28,102.89,81.3,72.13,58.09
"Connecticut","Wind",1.66,1.25,1.57,1.57,1.07,0.5,0.49,0.47,0.92,0.95,1.12,1.2
"Delaware","All fuels",118.38,220.56,228.15,205.18,291.4,542.64,626.1,696.29,318.91,217.78,362.48,477.25
"Delaware","Other renewables",10.01,9.28,12,12.73,13.19,12.1,12.84,11.55,11.33,10.44,10.1,10.06
"Delaware","Utility-scale photovoltaic",2.97,2.64,4.95,5.85,6.41,5.94,6.51,5.46,5.52,4.18,3.87,2.83
"Delaware","All utility-scale solar",2.97,2.64,4.95,5.85,6.41,5.94,6.51,5.46,5.52,4.18,3.87,2.83
"Delaware","All solar",10.71,10.85,17.12,19.01,20.96,20.37,21.3,19.95,17.54,14.55,12.66,10.91
"Delaware","Wind",0.51,0.54,0.56,0.5,0.33,0.24,0.22,0.18,0.37,0.49,0.46,0.44
"Florida","All fuels",18188.57,17302.1,18704.79,18752.28,22061.15,22764.1,24632.74,25490.39,22703.29,20414.59,17109.15,18327.23
"Florida","Other renewables",893.49,909.61,1133.14,1243.08,1401.91,1130.91,1169.99,1150.08,1127.38,1111.3,961.46,1044.25
"Florida","Conventional hydroelectric",22.15,14.83,32.43,23.09,22.57,14.89,20.78,18.39,22.46,21.6,22.83,15.59
"Florida","Nuclear",2698.62,2472.41,2672.88,2183.44,2344.61,2678.01,2751.66,2518.19,1938.46,795.44,2261.18,2743.39
"Florida","Utility-scale photovoltaic",546.73,555.47,761.05,864.59,1012.26,779.91,828.8,791.35,774.31,788.58,659.11,657.99
"Florida","Utility-scale thermal",1.29,1.71,3.14,3.65,4.91,1.67,3.48,2.47,3.11,1.53,1.12,0.5
"Florida","All utility-scale solar",548.02,557.18,764.19,868.24,1017.17,781.57,832.28,793.82,777.42,790.1,660.23,658.49
"Florida","All solar",653.49,665.06,905.19,1025.06,1185.25,934.36,990.43,949.52,916.39,935.54,797.45,795.97
"Georgia","All fuels",10325.06,9515.28,8410.18,9421.58,10388.74,11894.34,12355.8,12937.62,9963.31,9670.54,9564.24,9753.84
"Georgia","Other renewables",754.09,695.36,916.73,910.8,1074.48,932.35,979.37,967.58,912.71,902.07,839.92,828.49
"Georgia","Hydro-electric pumped storage",-10.32,13.4,25.42,38.31,-23.25,-33.89,-61.26,-44.05,-15.93,47.94,-27.31,-42.8
"Georgia","Conventional hydroelectric",355.84,307.92,339.25,372.31,306.93,271.97,319.91,251.51,199.7,365.15,238.91,331.63
"Georgia","Nuclear",3043.86,2318.59,2866.11,2918.17,3072.66,2786.43,2826.69,2896.47,2400.8,2847.28,3004.62,2970.3
